account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
clickadu-pub-nsd,CH,inhouseads,0.1790,1.6800,3709981,-1.5010,-89.35,2.1677,-5568.6784,USD,USD,USD
evadav-sv,JP,adsterra,0.0179,0.6950,8228003,-0.6771,-97.42,152.5090,-5571.1691,USD,USD,USD
mybid-pub-sv,BD,galaksion,0.2146,0.6500,12804930,-0.4354,-66.98,21.4850,-5574.9221,USD,USD,USD
propush-nsd,KR,inhouseads,0.4862,0.8400,15759380,-0.3538,-42.12,407.9825,-5576.2914,USD,USD,USD
propush-tb,TJ,inhouseads,0.9996,2.8350,3039265,-1.8354,-64.74,30.8709,-5578.3394,USD,USD,USD
evadav-rss,CM,kadam,0.0407,1.5000,3824096,-1.4593,-97.29,0.0250,-5580.4398,USD,USD,USD
mybid-pub-sv,MX,adsterra,0.1031,1.2375,4932483,-1.1344,-91.67,1.5927,-5595.5900,USD,USD,USD
propush-nsd,ET,kadam,0.4656,1.1000,8825027,-0.6344,-57.67,458.6973,-5598.5615,USD,USD,USD
evadav-rss,DE,clickadu,0.1504,0.7540,9286621,-0.6035,-80.05,2.4880,-5604.8267,USD,USD,USD
nsd,ZA,adsterra,0.4500,2.4861,2753644,-2.0361,-81.90,72.3100,-5606.7937,USD,USD,USD
propush-constructor,ET,inhouseads,0.4490,1.1550,7942524,-0.7060,-61.12,60.7797,-5607.1089,USD,USD,USD
evadav-rss,BR,galaksion,0.0624,0.5400,11778624,-0.4776,-88.44,0.6510,-5625.2106,USD,USD,USD
propush-nsd,GR,kadam,0.4611,1.4000,5992324,-0.9389,-67.07,247.4321,-5626.3849,USD,USD,USD
onclicka-sv,BR,galaksion,0.0613,0.5400,11778624,-0.4787,-88.65,0.3741,-5638.3132,USD,USD,USD
mybid-pub-sv,ZM,kadam,0.2456,2.0000,3214163,-1.7544,-87.72,1.4830,-5639.0071,USD,USD,USD
nsd,MY,adsterra,0.2800,2.1261,3055954,-1.8461,-86.83,19.8900,-5641.6272,USD,USD,USD
sv2,PE,inhouseads,0.2700,0.6300,15680133,-0.3600,-57.14,9.4900,-5644.8479,USD,USD,USD
evadav-rss,MY,clickadu,0.1101,1.5179,4010856,-1.4078,-92.75,1.3470,-5646.3588,USD,USD,USD
evadav-rss,ZM,inhouseads,0.1476,2.1000,2892746,-1.9524,-92.97,0.3990,-5647.9154,USD,USD,USD
clickadilla-sv,MX,adsterra,0.0924,1.2375,4932483,-1.1451,-92.53,0.9473,-5647.9878,USD,USD,USD
