account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
nsd,TL,0.0400,0.0900,13909,-0.0500,-55.56,1.0000,-0.6955,USD,USD,USD
sv2,TL,0.0400,0.0900,13909,-0.0500,-55.56,0.7900,-0.6955,USD,USD,USD
evadav-sv,BS,0.0247,0.1000,9479,-0.0753,-75.30,0.0080,-0.7138,USD,USD,USD
nsd,GY,0.0400,0.1000,12038,-0.0600,-60.00,0.1400,-0.7223,USD,USD,USD
sv2,GP,0.0800,0.2200,5316,-0.1400,-63.64,0.3400,-0.7442,USD,USD,USD
evadav-rss,MD,0.0837,0.0900,118843,-0.0063,-7.00,0.0200,-0.7487,USD,USD,USD
nsd,IS,0.1200,0.2100,8450,-0.0900,-42.86,0.1700,-0.7605,USD,USD,USD
evadav-sv,GY,0.0368,0.1000,12038,-0.0632,-63.20,0.0220,-0.7608,USD,USD,USD
sv2,ZW,0.3700,0.4500,9573,-0.0800,-17.78,5.1600,-0.7658,USD,USD,USD
evadav-sv,BI,0.1596,0.2700,7035,-0.1104,-40.89,0.1090,-0.7767,USD,USD,USD
nsd,JM,0.0600,0.0700,77907,-0.0100,-14.29,0.3000,-0.7791,USD,USD,USD
evadav-sv,MV,0.0584,0.1100,15148,-0.0516,-46.91,0.0610,-0.7816,USD,USD,USD
nsd,MK,0.0500,0.0900,20246,-0.0400,-44.44,0.2200,-0.8098,USD,USD,USD
evadav-sv,TL,0.0310,0.0900,13909,-0.0590,-65.56,0.1020,-0.8206,USD,USD,USD
nsd,TT,0.0500,0.0800,27989,-0.0300,-37.50,0.2200,-0.8397,USD,USD,USD
sv,MQ,0.0900,0.1700,10508,-0.0800,-47.06,0.0500,-0.8406,USD,USD,USD
sv2,BI,0.1500,0.2700,7035,-0.1200,-44.44,0.7100,-0.8442,USD,USD,USD
evadav-rss,RE,0.1597,0.2000,21191,-0.0403,-20.15,0.0190,-0.8540,USD,USD,USD
evadav-sv,ME,0.0455,0.1100,13388,-0.0645,-58.64,0.0280,-0.8635,USD,USD,USD
evadav-rss,AL,0.0626,0.0700,117744,-0.0074,-10.57,0.0480,-0.8713,USD,USD,USD
nsd,PG,0.0800,0.1300,18099,-0.0500,-38.46,0.3000,-0.9049,USD,USD,USD
evadav-sv,GA,0.0745,0.0800,166659,-0.0055,-6.88,0.0210,-0.9166,USD,USD,USD
sv2,MT,0.0700,0.1200,18625,-0.0500,-41.67,1.1500,-0.9313,USD,USD,USD
nsd,GM,0.0600,0.1300,13329,-0.0700,-53.85,0.4300,-0.9330,USD,USD,USD
evadav-sv,MG,0.0574,0.1300,13114,-0.0726,-55.85,0.0780,-0.9521,USD,USD,USD
evadav-sv,MK,0.0395,0.0900,20246,-0.0505,-56.11,0.0360,-1.0224,USD,USD,USD
sv,MU,0.0800,0.1200,26254,-0.0400,-33.33,0.1300,-1.0502,USD,USD,USD
nsd,MQ,0.0700,0.1700,10508,-0.1000,-58.82,0.1000,-1.0508,USD,USD,USD
evadav-rss,MT,0.0588,0.1200,18625,-0.0612,-51.00,0.0320,-1.1399,USD,USD,USD
sv2,MD,0.0800,0.0900,118843,-0.0100,-11.11,0.5900,-1.1884,USD,USD,USD
